crop_type,growth_stage,season,water_req_mm_day,kc_coefficient,days_in_stage,sensitive_to_water
Rice,Seedling,Kharif,11.21065683,0.692855447,34,1
Rice,Seedling,Rabi,9.312632917,0.523366625,29,1
Rice,Seedling,Zaid,11.15919199,1.067828038,31,1
Rice,Vegetative,Kharif,4.994715921,0.868151158,17,1
Rice,Vegetative,Rabi,4.175784006,0.402567182,12,1
Rice,Vegetative,Zaid,10.63900892,1.010637476,27,0
Rice,Flowering,Kharif,10.95685985,0.834527326,24,1
Rice,Flowering,Rabi,5.502701312,1.048485524,12,1
Rice,Flowering,Zaid,7.444561272,0.823030554,42,1
Rice,Fruiting,Kharif,11.00019906,0.722442127,19,1
Rice,Fruiting,Rabi,2.262567836,0.922190594,39,1
Rice,Fruiting,Zaid,2.306132488,0.924320996,28,1
Rice,Maturity,Kharif,11.33245887,0.782074138,28,0
Rice,Maturity,Rabi,5.019067423,0.725250209,30,1
Rice,Maturity,Zaid,9.036130934,0.638945765,15,0
Wheat,Seedling,Kharif,5.442103508,0.51166129,19,0
Wheat,Seedling,Rabi,9.385926067,0.960362786,21,0
Wheat,Seedling,Zaid,8.451648476,0.782105732,16,1
Wheat,Vegetative,Kharif,8.93941169,1.110965308,41,1
Wheat,Vegetative,Rabi,5.267886597,1.053167581,25,1
Wheat,Vegetative,Zaid,5.285852065,0.369844948,22,0
Wheat,Flowering,Kharif,5.088172469,1.13836094,23,1
Wheat,Flowering,Rabi,3.914333844,0.934088444,14,1
Wheat,Flowering,Zaid,10.8666522,0.851478715,42,1
Wheat,Fruiting,Kharif,8.70378002,0.938544549,36,0
Wheat,Fruiting,Rabi,4.517388818,1.149233686,22,0
Wheat,Fruiting,Zaid,3.192989183,0.426001594,40,1
Wheat,Maturity,Kharif,11.86716875,0.563847384,42,1
Wheat,Maturity,Rabi,9.377635895,0.347366724,34,1
Wheat,Maturity,Zaid,7.680956413,0.874004884,20,1
Maize,Seedling,Kharif,6.317362331,1.226388803,19,1
Maize,Seedling,Rabi,6.638561921,1.111910081,31,1
Maize,Seedling,Zaid,5.907654706,0.505096809,38,1
Maize,Vegetative,Kharif,2.058981719,0.498465421,37,1
Maize,Vegetative,Rabi,7.151706786,0.431459605,19,1
Maize,Vegetative,Zaid,3.429803203,1.241198368,22,1
Maize,Flowering,Kharif,3.891524447,1.223018355,39,0
Maize,Flowering,Rabi,11.64356375,1.235775751,28,1
Maize,Flowering,Zaid,6.69514085,0.372392228,39,1
Maize,Fruiting,Kharif,2.890150943,0.831211502,33,1
Maize,Fruiting,Rabi,9.424203209,0.413634221,27,0
Maize,Fruiting,Zaid,9.786951611,1.1692111,30,1
Maize,Maturity,Kharif,11.82658416,1.157307664,43,0
Maize,Maturity,Rabi,5.282044081,0.308486136,23,0
Maize,Maturity,Zaid,9.061428732,1.125268835,39,1
Cotton,Seedling,Kharif,11.59240321,1.177093413,42,1
Cotton,Seedling,Rabi,6.155078969,0.393097598,35,1
Cotton,Seedling,Zaid,8.701638479,0.524041941,27,0
Cotton,Vegetative,Kharif,6.11663238,0.897239775,15,1
Cotton,Vegetative,Rabi,4.333043709,0.355833675,32,1
Cotton,Vegetative,Zaid,5.253523769,0.932223582,28,0
Cotton,Flowering,Kharif,7.483437749,1.037952292,20,1
Cotton,Flowering,Rabi,5.7828555,0.857928165,27,1
Cotton,Flowering,Zaid,10.77911283,0.923064023,32,1
Cotton,Fruiting,Kharif,11.15710425,1.249833198,36,1
Cotton,Fruiting,Rabi,5.809427164,1.175343356,38,0
Cotton,Fruiting,Zaid,4.734285511,1.039808345,16,0
Cotton,Maturity,Kharif,11.86830399,0.829872684,35,1
Cotton,Maturity,Rabi,4.25315253,0.802908113,36,1
Cotton,Maturity,Zaid,11.79751684,1.234786251,29,0
Sugarcane,Seedling,Kharif,4.344121372,0.650807563,19,1
Sugarcane,Seedling,Rabi,7.573364751,0.89498845,40,0
Sugarcane,Seedling,Zaid,7.020692562,0.613708457,24,0
Sugarcane,Vegetative,Kharif,9.809020223,0.415304448,25,0
Sugarcane,Vegetative,Rabi,11.80427835,0.540713546,23,1
Sugarcane,Vegetative,Zaid,11.66363755,0.375267609,43,1
Sugarcane,Flowering,Kharif,11.98307669,0.955406246,39,0
Sugarcane,Flowering,Rabi,3.142882227,0.782310879,33,1
Sugarcane,Flowering,Zaid,9.834792996,0.977172824,22,1
Sugarcane,Fruiting,Kharif,7.010767636,0.360733295,40,1
Sugarcane,Fruiting,Rabi,7.535651634,1.243192456,32,0
Sugarcane,Fruiting,Zaid,7.057610666,0.834521407,13,1
Sugarcane,Maturity,Kharif,5.969536812,1.040477095,23,0
Sugarcane,Maturity,Rabi,9.538404002,0.60248167,11,0
Sugarcane,Maturity,Zaid,11.15178777,0.565565905,26,1
Soybean,Seedling,Kharif,5.052663504,1.219024287,30,1
Soybean,Seedling,Rabi,2.166181047,0.389303849,44,0
Soybean,Seedling,Zaid,8.518104512,0.803216447,11,1
Soybean,Vegetative,Kharif,11.48067675,0.920525449,11,1
Soybean,Vegetative,Rabi,10.79434924,1.215493273,11,1
Soybean,Vegetative,Zaid,7.475309693,0.999956386,30,1
Soybean,Flowering,Kharif,10.0313622,0.403383868,42,1
Soybean,Flowering,Rabi,11.34898224,1.119261896,34,0
Soybean,Flowering,Zaid,11.4373574,0.736510977,35,1
Soybean,Fruiting,Kharif,2.62551798,0.984048414,16,1
Soybean,Fruiting,Rabi,5.188696566,0.891824147,22,1
Soybean,Fruiting,Zaid,5.685173334,0.606032414,26,1
Soybean,Maturity,Kharif,3.106252895,1.216909772,37,1
Soybean,Maturity,Rabi,7.572444188,0.655656939,27,1
Soybean,Maturity,Zaid,9.396376092,1.093824351,22,0
Groundnut,Seedling,Kharif,9.975731021,1.114843066,26,1
Groundnut,Seedling,Rabi,2.249680555,1.214688664,36,1
Groundnut,Seedling,Zaid,3.179869898,0.717625025,15,0
Groundnut,Vegetative,Kharif,10.95736014,0.85143571,21,1
Groundnut,Vegetative,Rabi,6.617791562,0.555358644,25,1
Groundnut,Vegetative,Zaid,8.196806267,0.306632334,38,1
Groundnut,Flowering,Kharif,3.225164125,1.246544922,29,0
Groundnut,Flowering,Rabi,7.181536201,0.611821565,14,0
Groundnut,Flowering,Zaid,5.834547314,0.412043329,25,1
